Name,Roll,Branch,StartYear,PreviousCourses,CurrentCourses
Aarav K_365,KDB69,DS,2026,DSA:8|TOC:8|DBMS:8,DBMS|CN
Navya M_366,917,EE,2021,DBMS:7|AI:7,ML
Navya A_367,646,EE,2020,TOC:7,ML|OS
Rian T_368,ALE69,EE,2026,SE:6|COA:7|DAA:7|ML:6,OS|CN
Pari R_369,267,DS,2027,COA:9|CN:7,DBMS|DSA
Angel P_370,874,EE,2023,COA:9|DBMS:10|SE:6|OOPS:5,DBMS|DSA|CN
Ananya T_371,374,CSE,2022,CN:7,ML
Ananya M_372,862,AIML,2022,OS:6|DBMS:7|CN:7,CN
Myra A_373,249,CE,2020,SE:5|ML:6|COA:10,DBMS|AI|ML
Aarav T_374,TXU38,EE,2025,DAA:5|DSA:10,DSA
Navya T_375,584,IT,2022,ML:10|COA:5|DSA:5,DBMS|CN
Reyansh S_376,AJQ25,ECE,2027,AI:6,COA|ML|DSA
Navya M_377,917,EE,2024,DBMS:7|AI:7,ML
Kabir P_378,UOE14,CSE,2025,TOC:5|CN:7|COA:7|AI:10,DSA|DBMS|AI
Rian T_379,ALE69,EE,2027,SE:6|COA:7|DAA:7|ML:6,OS|CN
Sai R_380,VRP70,CE,2022,DAA:5|OS:9,DBMS|OS|AI
Aditya K_381,841,CE,2019,ML:8|OOPS:8|DAA:9|COA:5,DBMS|OS
Ira P_382,650,ME,2022,CN:6|TOC:6,OS
Aarohi T_383,ICG22,CSE,2018,OOPS:7|AI:7,DSA|OS
Reyansh K_384,FMA79,CSE,2025,COA:7|OS:8,OS
Myra R_385,LBY37,CE,2025,SE:6|DBMS:5|ML:8|CN:6,COA
Navya A_386,646,EE,2021,TOC:7,ML|OS
Muhammad P_387,NZR11,CE,2024,CN:5|DSA:7|TOC:7,AI|OS|CN
Ananya A_388,GCJ17,EE,2023,ML:10|CN:5|OOPS:9|DAA:5,AI|DSA|ML
Ananya A_389,GCJ17,EE,2023,ML:10|CN:5|OOPS:9|DAA:5,AI|DSA|ML
Sara R_390,998,IT,2021,DBMS:10|DAA:7|CN:10|OS:7,AI|DSA|CN
Sai R_391,VRP70,CE,2023,DAA:5|OS:9,DBMS|OS|AI
Myra K_392,TNZ13,DS,2023,COA:7|OS:8,AI
Navya P_393,GLC69,ME,2021,DAA:10|DBMS:8|OOPS:8|OS:8,AI|CN
Kabir P_394,UOE14,CSE,2026,TOC:5|CN:7|COA:7|AI:10,DSA|DBMS|AI
Riya T_395,692,ECE,2026,DBMS:6|OOPS:5,DSA|AI
Rian T_396,ALE69,EE,2023,SE:6|COA:7|DAA:7|ML:6,OS|CN
Rian R_397,183,CE,2021,COA:8,CN
Ira P_398,650,ME,2022,CN:6|TOC:6,OS
Pari R_399,267,DS,2021,COA:9|CN:7,DBMS|DSA
Muhammad P_400,WBP33,ME,2026,TOC:5,AI
Saanvi P_401,247,CE,2018,DAA:8,DSA|CN|COA
Ananya A_402,GCJ17,EE,2021,ML:10|CN:5|OOPS:9|DAA:5,AI|DSA|ML
Rian T_403,ALE69,EE,2021,SE:6|COA:7|DAA:7|ML:6,OS|CN
Ananya A_404,GCJ17,EE,2018,ML:10|CN:5|OOPS:9|DAA:5,AI|DSA|ML
Aarav K_405,DPA73,EE,2024,AI:5|DAA:8,AI|CN|OS
Myra R_406,LBY37,CE,2023,SE:6|DBMS:5|ML:8|CN:6,COA
Navya T_407,584,IT,2024,ML:10|COA:5|DSA:5,DBMS|CN
Rian R_408,183,CE,2018,COA:8,CN
Ananya M_409,862,AIML,2020,OS:6|DBMS:7|CN:7,CN
Shaurya P_410,996,ECE,2024,OS:8|DAA:8|SE:5|AI:6,DBMS|COA
Aadhya S_411,HHS63,CSE,2023,CN:8,DBMS|OS
Sara R_412,998,IT,2027,DBMS:10|DAA:7|CN:10|OS:7,AI|DSA|CN
Navya P_413,GLC69,ME,2019,DAA:10|DBMS:8|OOPS:8|OS:8,AI|CN
Ananya A_414,GCJ17,EE,2022,ML:10|CN:5|OOPS:9|DAA:5,AI|DSA|ML
Pari R_415,267,DS,2026,COA:9|CN:7,DBMS|DSA
Angel P_416,874,EE,2019,COA:9|DBMS:10|SE:6|OOPS:5,DBMS|DSA|CN
Sara R_417,998,IT,2025,DBMS:10|DAA:7|CN:10|OS:7,AI|DSA|CN
Arya M_418,XIY73,DS,2026,OS:5|AI:6|CN:5,AI|DBMS|COA
Riya T_419,692,ECE,2023,DBMS:6|OOPS:5,DSA|AI
Myra R_420,LBY37,CE,2019,SE:6|DBMS:5|ML:8|CN:6,COA
Aarohi P_421,626,EE,2025,OOPS:6,OS
Navya S_422,870,DS,2022,DBMS:5|COA:10|CN:5|DSA:10,OS|COA
Aarohi T_423,ICG22,CSE,2024,OOPS:7|AI:7,DSA|OS
Saanvi A_424,346,CE,2020,CN:7|SE:5|ML:10,DSA|AI|ML
Navya P_425,GLC69,ME,2020,DAA:10|DBMS:8|OOPS:8|OS:8,AI|CN
Krishna K_426,231,DS,2023,TOC:8|OOPS:7,AI|OS
Sara R_427,998,IT,2021,DBMS:10|DAA:7|CN:10|OS:7,AI|DSA|CN
Aadhya S_428,HHS63,CSE,2025,CN:8,DBMS|OS
Navya T_429,584,IT,2023,ML:10|COA:5|DSA:5,DBMS|CN
Aarav T_430,TXU38,EE,2026,DAA:5|DSA:10,DSA
Ira P_431,650,ME,2019,CN:6|TOC:6,OS
Sai R_432,VRP70,CE,2023,DAA:5|OS:9,DBMS|OS|AI
Rian R_433,183,CE,2020,COA:8,CN
Vivaan R_434,LUU29,CSE,2020,OOPS:7|SE:5|COA:5|TOC:7,ML|CN|AI
Reyansh K_435,FMA79,CSE,2022,COA:7|OS:8,OS
Sara R_436,998,IT,2023,DBMS:10|DAA:7|CN:10|OS:7,AI|DSA|CN
Ananya M_437,862,AIML,2022,OS:6|DBMS:7|CN:7,CN
Aarohi T_438,ICG22,CSE,2023,OOPS:7|AI:7,DSA|OS
Arya M_439,XIY73,DS,2024,OS:5|AI:6|CN:5,AI|DBMS|COA
Aarohi T_440,ICG22,CSE,2024,OOPS:7|AI:7,DSA|OS
Sai S_441,FVB35,ECE,2017,DSA:10|ML:8,CN
Navya A_442,646,EE,2019,TOC:7,ML|OS
Rian A_443,MRC72,CE,2020,DSA:7,DSA|ML|DBMS
Sai S_444,FVB35,ECE,2017,DSA:10|ML:8,CN
Saanvi A_445,346,CE,2020,CN:7|SE:5|ML:10,DSA|AI|ML
Saanvi A_446,346,CE,2021,CN:7|SE:5|ML:10,DSA|AI|ML
Myra R_447,LBY37,CE,2025,SE:6|DBMS:5|ML:8|CN:6,COA
Myra R_448,LBY37,CE,2020,SE:6|DBMS:5|ML:8|CN:6,COA
Angel P_449,874,EE,2024,COA:9|DBMS:10|SE:6|OOPS:5,DBMS|DSA|CN
Navya A_450,646,EE,2025,TOC:7,ML|OS
Atharv P_451,DWV26,IT,2025,TOC:9,ML
Sara R_452,998,IT,2021,DBMS:10|DAA:7|CN:10|OS:7,AI|DSA|CN
Vivaan R_453,LUU29,CSE,2020,OOPS:7|SE:5|COA:5|TOC:7,ML|CN|AI
Aarav T_454,TXU38,EE,2022,DAA:5|DSA:10,DSA
Vihaan K_455,AZS78,ME,2020,CN:6|COA:10,DBMS|OS
Shaurya A_456,667,ME,2017,OOPS:8,OS|CN|ML
Atharv M_457,JQR11,DS,2020,DAA:7|CN:7|DBMS:8,COA|AI|OS
Muhammad P_458,WBP33,ME,2022,TOC:5,AI
Navya A_459,646,EE,2025,TOC:7,ML|OS
Aarav K_460,DPA73,EE,2022,AI:5|DAA:8,AI|CN|OS
Rian R_461,574,ME,2019,DBMS:10|DSA:10|SE:9,DBMS|OS
Aditya P_462,412,ME,2023,SE:9,DBMS|DSA
Saanvi S_463,127,CE,2017,SE:8|DBMS:6,CN
Kabir P_464,UOE14,CSE,2023,TOC:5|CN:7|COA:7|AI:10,DSA|DBMS|AI
Aditya P_465,412,ME,2025,SE:9,DBMS|DSA
Navya M_466,917,EE,2019,DBMS:7|AI:7,ML
Aarav K_467,DPA73,EE,2022,AI:5|DAA:8,AI|CN|OS
Arya M_468,XIY73,DS,2026,OS:5|AI:6|CN:5,AI|DBMS|COA
Atharv M_469,JQR11,DS,2021,DAA:7|CN:7|DBMS:8,COA|AI|OS
Navya A_470,646,EE,2019,TOC:7,ML|OS
Ananya T_471,374,CSE,2019,CN:7,ML
Sai R_472,VRP70,CE,2025,DAA:5|OS:9,DBMS|OS|AI
Shaurya A_473,667,ME,2020,OOPS:8,OS|CN|ML
Ananya M_474,862,AIML,2020,OS:6|DBMS:7|CN:7,CN
Navya P_475,GLC69,ME,2024,DAA:10|DBMS:8|OOPS:8|OS:8,AI|CN
Navya P_476,GLC69,ME,2021,DAA:10|DBMS:8|OOPS:8|OS:8,AI|CN
Ira P_477,650,ME,2017,CN:6|TOC:6,OS
Atharv P_478,DWV26,IT,2022,TOC:9,ML
Aarav K_479,KDB69,DS,2026,DSA:8|TOC:8|DBMS:8,DBMS|CN
Reyansh S_480,AJQ25,ECE,2026,AI:6,COA|ML|DSA
Arya M_481,XIY73,DS,2027,OS:5|AI:6|CN:5,AI|DBMS|COA
Krishna K_482,231,DS,2023,TOC:8|OOPS:7,AI|OS
Muhammad P_483,WBP33,ME,2022,TOC:5,AI
Pari R_484,267,DS,2021,COA:9|CN:7,DBMS|DSA
Ananya A_485,GCJ17,EE,2022,ML:10|CN:5|OOPS:9|DAA:5,AI|DSA|ML
Rian T_486,ALE69,EE,2021,SE:6|COA:7|DAA:7|ML:6,OS|CN
Saanvi P_487,247,CE,2020,DAA:8,DSA|CN|COA
Rian R_488,183,CE,2022,COA:8,CN
Kabir P_489,UOE14,CSE,2024,TOC:5|CN:7|COA:7|AI:10,DSA|DBMS|AI
Aadhya S_490,HHS63,CSE,2023,CN:8,DBMS|OS
Sai S_491,FVB35,ECE,2017,DSA:10|ML:8,CN
Navya S_492,870,DS,2020,DBMS:5|COA:10|CN:5|DSA:10,OS|COA
Saanvi A_493,346,CE,2016,CN:7|SE:5|ML:10,DSA|AI|ML
Krishna R_494,560,CE,2026,OS:5,ML|DSA
Saanvi P_495,247,CE,2023,DAA:8,DSA|CN|COA
Ananya M_496,862,AIML,2024,OS:6|DBMS:7|CN:7,CN
Krishna K_497,231,DS,2023,TOC:8|OOPS:7,AI|OS
Aditya K_498,841,CE,2019,ML:8|OOPS:8|DAA:9|COA:5,DBMS|OS
Shaurya P_499,996,ECE,2022,OS:8|DAA:8|SE:5|AI:6,DBMS|COA
Rian R_500,574,ME,2020,DBMS:10|DSA:10|SE:9,DBMS|OS
Muhammad P_501,WBP33,ME,2022,TOC:5,AI
Sara R_502,998,IT,2021,DBMS:10|DAA:7|CN:10|OS:7,AI|DSA|CN
Sai S_503,FVB35,ECE,2018,DSA:10|ML:8,CN
Atharv P_504,DWV26,IT,2023,TOC:9,ML
Krishna K_505,231,DS,2021,TOC:8|OOPS:7,AI|OS
Aditya P_506,412,ME,2020,SE:9,DBMS|DSA
Kabir P_507,UOE14,CSE,2024,TOC:5|CN:7|COA:7|AI:10,DSA|DBMS|AI
Aadhya S_508,HHS63,CSE,2026,CN:8,DBMS|OS
Rian T_509,ALE69,EE,2021,SE:6|COA:7|DAA:7|ML:6,OS|CN
Ananya M_510,862,AIML,2023,OS:6|DBMS:7|CN:7,CN
Aarohi T_511,ICG22,CSE,2022,OOPS:7|AI:7,DSA|OS
Muhammad P_512,NZR11,CE,2022,CN:5|DSA:7|TOC:7,AI|OS|CN
Saanvi P_513,247,CE,2018,DAA:8,DSA|CN|COA
Aarav K_514,DPA73,EE,2019,AI:5|DAA:8,AI|CN|OS
Muhammad P_515,NZR11,CE,2020,CN:5|DSA:7|TOC:7,AI|OS|CN
Angel P_516,874,EE,2020,COA:9|DBMS:10|SE:6|OOPS:5,DBMS|DSA|CN
Myra K_517,TNZ13,DS,2023,COA:7|OS:8,AI
Rian R_518,183,CE,2017,COA:8,CN
Atharv P_519,DWV26,IT,2021,TOC:9,ML
Kabir P_520,UOE14,CSE,2021,TOC:5|CN:7|COA:7|AI:10,DSA|DBMS|AI
Pari R_521,267,DS,2023,COA:9|CN:7,DBMS|DSA
Aditya P_522,412,ME,2025,SE:9,DBMS|DSA
Rian R_523,574,ME,2024,DBMS:10|DSA:10|SE:9,DBMS|OS
Arya M_524,XIY73,DS,2021,OS:5|AI:6|CN:5,AI|DBMS|COA
Angel P_525,874,EE,2020,COA:9|DBMS:10|SE:6|OOPS:5,DBMS|DSA|CN
Ananya M_526,862,AIML,2020,OS:6|DBMS:7|CN:7,CN
Rian R_527,183,CE,2018,COA:8,CN
Kabir P_528,UOE14,CSE,2026,TOC:5|CN:7|COA:7|AI:10,DSA|DBMS|AI
Aditya K_529,841,CE,2020,ML:8|OOPS:8|DAA:9|COA:5,DBMS|OS
Ira P_530,650,ME,2020,CN:6|TOC:6,OS
Rian A_531,MRC72,CE,2023,DSA:7,DSA|ML|DBMS
Navya A_532,646,EE,2019,TOC:7,ML|OS
Myra R_533,LBY37,CE,2021,SE:6|DBMS:5|ML:8|CN:6,COA
Aditya P_534,412,ME,2024,SE:9,DBMS|DSA
Aarav T_535,TXU38,EE,2024,DAA:5|DSA:10,DSA
Aarohi P_536,626,EE,2023,OOPS:6,OS
Reyansh K_537,FMA79,CSE,2021,COA:7|OS:8,OS
Aarav K_538,DPA73,EE,2025,AI:5|DAA:8,AI|CN|OS
Aditya K_539,841,CE,2022,ML:8|OOPS:8|DAA:9|COA:5,DBMS|OS
Sai R_540,VRP70,CE,2026,DAA:5|OS:9,DBMS|OS|AI
Ira P_541,650,ME,2018,CN:6|TOC:6,OS
Navya P_542,GLC69,ME,2019,DAA:10|DBMS:8|OOPS:8|OS:8,AI|CN
Aditya K_543,841,CE,2021,ML:8|OOPS:8|DAA:9|COA:5,DBMS|OS
Aarohi T_544,ICG22,CSE,2019,OOPS:7|AI:7,DSA|OS
Myra A_545,249,CE,2022,SE:5|ML:6|COA:10,DBMS|AI|ML
Aadhya S_546,HHS63,CSE,2021,CN:8,DBMS|OS
Aarohi T_547,ICG22,CSE,2018,OOPS:7|AI:7,DSA|OS
Ananya A_548,GCJ17,EE,2020,ML:10|CN:5|OOPS:9|DAA:5,AI|DSA|ML
Myra R_549,LBY37,CE,2021,SE:6|DBMS:5|ML:8|CN:6,COA
Navya M_550,917,EE,2019,DBMS:7|AI:7,ML
Aarohi P_551,626,EE,2023,OOPS:6,OS
Atharv P_552,DWV26,IT,2025,TOC:9,ML
Aadhya S_553,HHS63,CSE,2024,CN:8,DBMS|OS
Aarav K_554,KDB69,DS,2024,DSA:8|TOC:8|DBMS:8,DBMS|CN
Myra A_555,249,CE,2022,SE:5|ML:6|COA:10,DBMS|AI|ML
Aarohi P_556,626,EE,2023,OOPS:6,OS
Shaurya P_557,996,ECE,2022,OS:8|DAA:8|SE:5|AI:6,DBMS|COA
Aarav K_558,DPA73,EE,2024,AI:5|DAA:8,AI|CN|OS
Aadhya S_559,HHS63,CSE,2023,CN:8,DBMS|OS
Atharv P_560,DWV26,IT,2023,TOC:9,ML
Saanvi S_561,127,CE,2020,SE:8|DBMS:6,CN
Saanvi A_562,346,CE,2017,CN:7|SE:5|ML:10,DSA|AI|ML
Rian T_563,ALE69,EE,2021,SE:6|COA:7|DAA:7|ML:6,OS|CN
Navya S_564,870,DS,2016,DBMS:5|COA:10|CN:5|DSA:10,OS|COA
Riya T_565,692,ECE,2024,DBMS:6|OOPS:5,DSA|AI
Muhammad P_566,WBP33,ME,2026,TOC:5,AI
Aadhya S_567,HHS63,CSE,2026,CN:8,DBMS|OS
Aarohi T_568,ICG22,CSE,2020,OOPS:7|AI:7,DSA|OS
Muhammad P_569,WBP33,ME,2025,TOC:5,AI
Pari R_570,267,DS,2024,COA:9|CN:7,DBMS|DSA
Saanvi S_571,127,CE,2022,SE:8|DBMS:6,CN
Myra A_572,249,CE,2018,SE:5|ML:6|COA:10,DBMS|AI|ML
Riya T_573,692,ECE,2026,DBMS:6|OOPS:5,DSA|AI
Shaurya P_574,996,ECE,2021,OS:8|DAA:8|SE:5|AI:6,DBMS|COA
Navya S_575,870,DS,2019,DBMS:5|COA:10|CN:5|DSA:10,OS|COA
Aadhya S_576,HHS63,CSE,2023,CN:8,DBMS|OS
Saanvi P_577,247,CE,2022,DAA:8,DSA|CN|COA
Vivaan R_578,LUU29,CSE,2017,OOPS:7|SE:5|COA:5|TOC:7,ML|CN|AI
Saanvi S_579,127,CE,2021,SE:8|DBMS:6,CN
Krishna K_580,231,DS,2024,TOC:8|OOPS:7,AI|OS
Sai R_581,VRP70,CE,2026,DAA:5|OS:9,DBMS|OS|AI
Ira P_582,650,ME,2017,CN:6|TOC:6,OS
Vihaan K_583,AZS78,ME,2020,CN:6|COA:10,DBMS|OS
Muhammad P_584,NZR11,CE,2025,CN:5|DSA:7|TOC:7,AI|OS|CN
Atharv M_585,JQR11,DS,2020,DAA:7|CN:7|DBMS:8,COA|AI|OS
Navya M_586,917,EE,2023,DBMS:7|AI:7,ML
Reyansh M_587,900,IT,2024,DAA:5|CN:6|OOPS:6|OS:9,OS
Rian A_588,MRC72,CE,2022,DSA:7,DSA|ML|DBMS
Krishna K_589,231,DS,2021,TOC:8|OOPS:7,AI|OS
Myra R_590,LBY37,CE,2022,SE:6|DBMS:5|ML:8|CN:6,COA
Rian R_591,574,ME,2022,DBMS:10|DSA:10|SE:9,DBMS|OS
Aarav K_592,KDB69,DS,2023,DSA:8|TOC:8|DBMS:8,DBMS|CN
Riya T_593,692,ECE,2021,DBMS:6|OOPS:5,DSA|AI
Krishna K_594,231,DS,2026,TOC:8|OOPS:7,AI|OS
Ira P_595,650,ME,2016,CN:6|TOC:6,OS
Shaurya A_596,667,ME,2021,OOPS:8,OS|CN|ML
Shaurya A_597,667,ME,2022,OOPS:8,OS|CN|ML
Aarav K_598,DPA73,EE,2020,AI:5|DAA:8,AI|CN|OS
Reyansh M_599,900,IT,2023,DAA:5|CN:6|OOPS:6|OS:9,OS
Aditya P_600,412,ME,2025,SE:9,DBMS|DSA
Sai R_601,VRP70,CE,2027,DAA:5|OS:9,DBMS|OS|AI
Aadhya S_602,HHS63,CSE,2024,CN:8,DBMS|OS
Aarohi P_603,626,EE,2023,OOPS:6,OS
Vihaan K_604,AZS78,ME,2020,CN:6|COA:10,DBMS|OS
Aditya P_605,412,ME,2024,SE:9,DBMS|DSA
Saanvi A_606,346,CE,2019,CN:7|SE:5|ML:10,DSA|AI|ML
Ananya M_607,862,AIML,2021,OS:6|DBMS:7|CN:7,CN
Rian R_608,574,ME,2019,DBMS:10|DSA:10|SE:9,DBMS|OS
Arya M_609,XIY73,DS,2025,OS:5|AI:6|CN:5,AI|DBMS|COA
Vivaan R_610,LUU29,CSE,2018,OOPS:7|SE:5|COA:5|TOC:7,ML|CN|AI
Navya S_611,870,DS,2022,DBMS:5|COA:10|CN:5|DSA:10,OS|COA
Pari R_612,267,DS,2024,COA:9|CN:7,DBMS|DSA
Navya P_613,GLC69,ME,2023,DAA:10|DBMS:8|OOPS:8|OS:8,AI|CN
Angel P_614,874,EE,2020,COA:9|DBMS:10|SE:6|OOPS:5,DBMS|DSA|CN
Navya T_615,584,IT,2026,ML:10|COA:5|DSA:5,DBMS|CN
Navya P_616,GLC69,ME,2019,DAA:10|DBMS:8|OOPS:8|OS:8,AI|CN
Ananya M_617,862,AIML,2026,OS:6|DBMS:7|CN:7,CN
Aditya P_618,412,ME,2019,SE:9,DBMS|DSA
Aarav T_619,TXU38,EE,2025,DAA:5|DSA:10,DSA
Ananya T_620,374,CSE,2019,CN:7,ML
Shaurya A_621,667,ME,2018,OOPS:8,OS|CN|ML
Saanvi P_622,247,CE,2021,DAA:8,DSA|CN|COA
Aarav K_623,KDB69,DS,2024,DSA:8|TOC:8|DBMS:8,DBMS|CN
Rian R_624,183,CE,2019,COA:8,CN
Muhammad P_625,WBP33,ME,2023,TOC:5,AI
Reyansh M_626,900,IT,2024,DAA:5|CN:6|OOPS:6|OS:9,OS
Reyansh M_627,900,IT,2022,DAA:5|CN:6|OOPS:6|OS:9,OS
Atharv P_628,DWV26,IT,2022,TOC:9,ML
Aarohi T_629,ICG22,CSE,2021,OOPS:7|AI:7,DSA|OS
Pari R_630,267,DS,2022,COA:9|CN:7,DBMS|DSA
Aditya K_631,841,CE,2024,ML:8|OOPS:8|DAA:9|COA:5,DBMS|OS
Sai R_632,VRP70,CE,2023,DAA:5|OS:9,DBMS|OS|AI
Myra K_633,TNZ13,DS,2019,COA:7|OS:8,AI
Myra K_634,TNZ13,DS,2020,COA:7|OS:8,AI
Aarohi P_635,626,EE,2024,OOPS:6,OS
Reyansh S_636,AJQ25,ECE,2023,AI:6,COA|ML|DSA
Muhammad P_637,WBP33,ME,2025,TOC:5,AI
Myra A_638,249,CE,2023,SE:5|ML:6|COA:10,DBMS|AI|ML
Shaurya P_639,996,ECE,2025,OS:8|DAA:8|SE:5|AI:6,DBMS|COA
Atharv M_640,JQR11,DS,2022,DAA:7|CN:7|DBMS:8,COA|AI|OS
Ananya M_641,862,AIML,2021,OS:6|DBMS:7|CN:7,CN
Shaurya A_642,667,ME,2017,OOPS:8,OS|CN|ML
Kabir P_643,UOE14,CSE,2024,TOC:5|CN:7|COA:7|AI:10,DSA|DBMS|AI
Saanvi P_644,247,CE,2023,DAA:8,DSA|CN|COA
Saanvi S_645,127,CE,2020,SE:8|DBMS:6,CN
Vivaan R_646,LUU29,CSE,2023,OOPS:7|SE:5|COA:5|TOC:7,ML|CN|AI
Ananya T_647,374,CSE,2022,CN:7,ML
Rian R_648,574,ME,2021,DBMS:10|DSA:10|SE:9,DBMS|OS
Navya S_649,870,DS,2020,DBMS:5|COA:10|CN:5|DSA:10,OS|COA
Ananya T_650,374,CSE,2019,CN:7,ML
Saanvi P_651,247,CE,2022,DAA:8,DSA|CN|COA
Vivaan R_652,LUU29,CSE,2021,OOPS:7|SE:5|COA:5|TOC:7,ML|CN|AI
Sai S_653,FVB35,ECE,2016,DSA:10|ML:8,CN
Ananya T_654,374,CSE,2020,CN:7,ML
Saanvi A_655,346,CE,2021,CN:7|SE:5|ML:10,DSA|AI|ML
Rian R_656,183,CE,2019,COA:8,CN
Vihaan K_657,AZS78,ME,2026,CN:6|COA:10,DBMS|OS
Rian T_658,ALE69,EE,2025,SE:6|COA:7|DAA:7|ML:6,OS|CN
Reyansh M_659,900,IT,2024,DAA:5|CN:6|OOPS:6|OS:9,OS
Myra R_660,LBY37,CE,2025,SE:6|DBMS:5|ML:8|CN:6,COA
Rian R_661,183,CE,2020,COA:8,CN
Myra A_662,249,CE,2019,SE:5|ML:6|COA:10,DBMS|AI|ML
Muhammad P_663,WBP33,ME,2023,TOC:5,AI
Krishna K_664,231,DS,2026,TOC:8|OOPS:7,AI|OS
Atharv P_665,DWV26,IT,2020,TOC:9,ML
Shaurya P_666,996,ECE,2025,OS:8|DAA:8|SE:5|AI:6,DBMS|COA
Ira P_667,650,ME,2022,CN:6|TOC:6,OS
Krishna K_668,231,DS,2026,TOC:8|OOPS:7,AI|OS
Navya A_669,646,EE,2023,TOC:7,ML|OS
Rian R_670,183,CE,2022,COA:8,CN
Aditya K_671,841,CE,2020,ML:8|OOPS:8|DAA:9|COA:5,DBMS|OS
Krishna R_672,560,CE,2026,OS:5,ML|DSA
Aarohi T_673,ICG22,CSE,2023,OOPS:7|AI:7,DSA|OS
Ananya T_674,374,CSE,2020,CN:7,ML
Aadhya S_675,HHS63,CSE,2025,CN:8,DBMS|OS
Riya T_676,692,ECE,2021,DBMS:6|OOPS:5,DSA|AI
Atharv P_677,DWV26,IT,2025,TOC:9,ML
Rian A_678,MRC72,CE,2023,DSA:7,DSA|ML|DBMS
Kabir P_679,UOE14,CSE,2023,TOC:5|CN:7|COA:7|AI:10,DSA|DBMS|AI
Myra A_680,249,CE,2019,SE:5|ML:6|COA:10,DBMS|AI|ML
Kabir P_681,UOE14,CSE,2024,TOC:5|CN:7|COA:7|AI:10,DSA|DBMS|AI
Aditya K_682,841,CE,2024,ML:8|OOPS:8|DAA:9|COA:5,DBMS|OS
Reyansh K_683,FMA79,CSE,2019,COA:7|OS:8,OS
Aarav K_684,DPA73,EE,2020,AI:5|DAA:8,AI|CN|OS
Aditya P_685,412,ME,2025,SE:9,DBMS|DSA
Navya M_686,917,EE,2022,DBMS:7|AI:7,ML
Atharv M_687,JQR11,DS,2019,DAA:7|CN:7|DBMS:8,COA|AI|OS
Riya T_688,692,ECE,2024,DBMS:6|OOPS:5,DSA|AI
Riya T_689,692,ECE,2026,DBMS:6|OOPS:5,DSA|AI
Aadhya S_690,HHS63,CSE,2025,CN:8,DBMS|OS
Rian R_691,183,CE,2022,COA:8,CN
Shaurya A_692,667,ME,2019,OOPS:8,OS|CN|ML
Saanvi A_693,346,CE,2018,CN:7|SE:5|ML:10,DSA|AI|ML
Ananya A_694,GCJ17,EE,2023,ML:10|CN:5|OOPS:9|DAA:5,AI|DSA|ML
Ananya T_695,374,CSE,2022,CN:7,ML
Muhammad P_696,WBP33,ME,2024,TOC:5,AI
Kabir P_697,UOE14,CSE,2020,TOC:5|CN:7|COA:7|AI:10,DSA|DBMS|AI
Aarav K_698,KDB69,DS,2020,DSA:8|TOC:8|DBMS:8,DBMS|CN
Myra A_699,249,CE,2019,SE:5|ML:6|COA:10,DBMS|AI|ML
Ananya M_700,862,AIML,2021,OS:6|DBMS:7|CN:7,CN
Riya T_701,692,ECE,2022,DBMS:6|OOPS:5,DSA|AI
Navya S_702,870,DS,2016,DBMS:5|COA:10|CN:5|DSA:10,OS|COA
Krishna K_703,231,DS,2024,TOC:8|OOPS:7,AI|OS
Ananya T_704,374,CSE,2020,CN:7,ML
Kabir P_705,UOE14,CSE,2025,TOC:5|CN:7|COA:7|AI:10,DSA|DBMS|AI
Myra K_706,TNZ13,DS,2018,COA:7|OS:8,AI
Rian R_707,183,CE,2022,COA:8,CN
Saanvi P_708,247,CE,2024,DAA:8,DSA|CN|COA
Ananya M_709,862,AIML,2023,OS:6|DBMS:7|CN:7,CN
Aadhya S_710,HHS63,CSE,2020,CN:8,DBMS|OS
Arya M_711,XIY73,DS,2024,OS:5|AI:6|CN:5,AI|DBMS|COA
Angel P_712,874,EE,2022,COA:9|DBMS:10|SE:6|OOPS:5,DBMS|DSA|CN
Atharv P_713,DWV26,IT,2023,TOC:9,ML
Sara R_714,998,IT,2025,DBMS:10|DAA:7|CN:10|OS:7,AI|DSA|CN
Kabir P_715,UOE14,CSE,2020,TOC:5|CN:7|COA:7|AI:10,DSA|DBMS|AI
Rian T_716,ALE69,EE,2022,SE:6|COA:7|DAA:7|ML:6,OS|CN
Myra A_717,249,CE,2018,SE:5|ML:6|COA:10,DBMS|AI|ML
Ananya T_718,374,CSE,2018,CN:7,ML
Rian R_719,183,CE,2018,COA:8,CN
Riya T_720,692,ECE,2021,DBMS:6|OOPS:5,DSA|AI
Riya T_721,692,ECE,2026,DBMS:6|OOPS:5,DSA|AI
Rian R_722,183,CE,2017,COA:8,CN
Navya T_723,584,IT,2026,ML:10|COA:5|DSA:5,DBMS|CN
Aditya P_724,412,ME,2023,SE:9,DBMS|DSA
Aarav K_725,KDB69,DS,2023,DSA:8|TOC:8|DBMS:8,DBMS|CN
Aarav K_726,KDB69,DS,2022,DSA:8|TOC:8|DBMS:8,DBMS|CN
Aadhya S_727,HHS63,CSE,2021,CN:8,DBMS|OS
Kabir P_728,UOE14,CSE,2020,TOC:5|CN:7|COA:7|AI:10,DSA|DBMS|AI
Reyansh S_729,AJQ25,ECE,2025,AI:6,COA|ML|DSA
Shaurya P_730,996,ECE,2024,OS:8|DAA:8|SE:5|AI:6,DBMS|COA
Ananya T_731,374,CSE,2019,CN:7,ML
